sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
117,6,0,typicality,1,kitchen,kitchen_practice2.tif,227,1.5,0,0.966666666666667,1470404.4073624,1470406.3909185,56,NaN,1470405.9125438,1470408.1970505,1470409.1621074,NaN,NaN
117,7,0,typicality,1,kitchen,kitchen_practice5.tif,230,1.5,0,1.58333333333333,1470409.1700932,1470412.7152092,72,NaN,1470410.6728726,1470413.8936914,1470415.4754129,NaN,NaN
117,8,0,typicality,1,kitchen,kitchen_practice1.tif,226,1.5,0,1.03333333333333,1470415.4812353,1470416.4334269,54,NaN,1470416.983839,1470416.9899936,1470418.0217125,NaN,NaN
117,9,0,typicality,1,kitchen,kitchen_practice4.tif,229,1.5,0,1.68333333333333,1470418.0264695,1470419.3419958,51,NaN,1470419.5284371,1470419.5347938,1470421.2165046,NaN,NaN
117,10,0,typicality,1,kitchen,kitchen_practice3.tif,228,1.5,0,1.45,1470421.2235961,1470422.152355,50,NaN,1470422.7254761,1470422.7316503,1470424.1801295,NaN,NaN
117,1,1,typicality,0,kitchen,sun_agubuxuukhzyzpdp.tif,198,1.5,0,0.733333333333333,1470465.5103944,1470466.9765408,53,NaN,1470467.012141,1470467.0181034,1470467.7499163,NaN,NaN
117,2,1,typicality,0,kitchen,sun_ahpczsiumwwocjkv.tif,202,1.5,0,1.18333333333333,1470467.7556155,1470467.7558818,53,NaN,1470469.2575019,1470469.2636524,1470470.4453313,NaN,NaN
117,3,1,typicality,0,kitchen,sun_aapllqyqlykszopd.tif,176,1.5,0,0.7,1470470.449526,1470470.8123968,82,NaN,NaN,1470484.8799837,1470485.5783203,NaN,NaN
117,4,1,typicality,0,kitchen,sun_aunzlwrbjumxhwdj.tif,212,1.5,0,1.2,1470485.5821794,1470485.5826195,53,NaN,1470487.0840022,1470487.0905245,1470488.2888625,NaN,NaN
117,5,1,typicality,0,kitchen,sun_adgqasybjyktddhj.tif,188,1.5,0,0.966666666666667,1470488.2931777,1470488.2933658,53,NaN,1470489.7950629,1470489.8011398,1470490.7661431,NaN,NaN
117,6,1,typicality,0,kitchen,sun_aaxxjlsuzvqlgylf.tif,178,1.5,0,1.3,1470490.7708383,1470490.7710426,53,NaN,1470492.272925,1470492.2791851,1470493.5775238,NaN,NaN
117,7,1,typicality,0,kitchen,labelme_kxvouciolcpqplr.tif,172,1.5,0,1.65,1470493.5817625,1470493.5819524,53,NaN,1470495.0837399,1470495.0900362,1470496.7383735,NaN,NaN
117,8,1,typicality,0,kitchen,sun_aqeaevwwwjoqhzvl.tif,210,1.5,0,1.63333333333333,1470496.74249,1470496.7427007,55,NaN,1470498.2445645,1470498.2511408,1470499.882812,NaN,NaN
117,9,1,typicality,0,kitchen,sun_acfmftudsenhrfhy.tif,184,1.5,0,0.9,1470499.8871687,1470499.8873975,55,NaN,1470501.3890312,1470501.3952815,1470502.2936196,NaN,NaN
117,10,1,typicality,0,kitchen,sun_ayqymgxqhxxiykiw.tif,219,1.5,0,0.95,1470502.297933,1470502.2981934,55,NaN,1470503.7998812,1470503.8059064,1470504.7542442,NaN,NaN
117,11,1,typicality,0,kitchen,sun_awcpdzzznmweyyhv.tif,215,1.5,0,0.816666666666667,1470504.7582921,1470504.7584876,55,NaN,1470506.2600375,1470506.2662643,1470507.0812689,NaN,NaN
117,12,1,typicality,0,kitchen,sun_aarfiyshqohlwkmo.tif,177,1.5,0,1.96666666666667,1470507.0852787,1470507.0854944,55,NaN,1470508.5875162,1470508.593522,1470510.5585261,NaN,NaN
117,13,1,typicality,0,kitchen,sun_aeqdocilnnpuvuhx.tif,193,1.5,0,0.783333333333333,1470510.563186,1470510.5633936,55,NaN,1470512.0650142,1470512.0711662,1470512.8528376,NaN,NaN
117,14,1,typicality,0,kitchen,sun_ahdycvpopffkzzsu.tif,200,1.5,0,0.733333333333333,1470512.8570046,1470512.8572036,55,NaN,1470514.3590591,1470514.3650608,1470515.0967394,NaN,NaN
117,15,1,typicality,0,kitchen,sun_acgtpgfybqjmzeyw.tif,185,1.5,0,1.9,1470515.101264,1470515.101464,55,NaN,1470516.6035746,1470516.6093459,1470518.5076823,NaN,NaN
117,16,1,typicality,0,kitchen,sun_auaiucuqpdausiva.tif,211,1.5,0,0.75,1470518.5117037,1470518.5119456,55,NaN,1470520.0135382,1470520.0199483,1470520.7682853,NaN,NaN
117,17,1,typicality,0,kitchen,sun_aenotlpyftoioydp.tif,192,1.5,0,0.916666666666667,1470520.7725019,1470520.7727354,55,NaN,1470522.2743239,1470522.2805943,1470523.1955984,NaN,NaN
117,18,1,typicality,0,kitchen,sun_akchetnepxlcxhsu.tif,207,1.5,0,0.733333333333333,1470523.19989,1470523.2001363,55,NaN,1470524.7022397,1470524.7081252,1470525.4397951,NaN,NaN
117,19,1,typicality,0,kitchen,sun_acxkpeoqbwcxfvip.tif,187,1.5,0,1.81666666666667,1470525.4439721,1470525.4441479,55,NaN,1470526.9456664,1470526.9521589,1470528.7671648,NaN,NaN
117,20,1,typicality,0,kitchen,labelme_rykdqxenmhulbdn.tif,173,1.5,0,1.16666666666667,1470528.7712607,1470528.7714912,55,NaN,1470530.2732967,1470530.2797886,1470531.4448022,NaN,NaN
117,21,1,typicality,0,kitchen,sun_agorklincwxrdtga.tif,197,1.5,0,1.81666666666667,1470531.4490891,1470531.4493162,55,NaN,1470532.950709,1470532.9568657,1470534.7718704,NaN,NaN
117,22,1,typicality,0,kitchen,sun_aexklacwqwezaorf.tif,194,1.5,0,1.35,1470534.7762249,1470534.7764314,55,NaN,1470536.2779707,1470536.2840125,1470537.6323507,NaN,NaN
117,23,1,typicality,0,kitchen,sun_ahywdevtimnqcsln.tif,204,1.5,0,1.25,1470537.6364501,1470537.6366489,55,NaN,1470539.1383551,1470539.1444417,1470540.3927803,NaN,NaN
117,24,1,typicality,0,kitchen,sun_aamedkxepzlwuxes.tif,175,1.5,0,1.05,1470540.39703,1470540.3972198,55,NaN,1470541.8994274,1470541.9052296,1470542.9535691,NaN,NaN
117,25,1,typicality,0,kitchen,sun_ajkqhtgcbgpcwrwn.tif,206,1.5,0,0.916666666666667,1470542.9575909,1470542.9578076,55,NaN,1470544.4597074,1470544.4660189,1470545.3810239,NaN,NaN
117,1,2,typicality,0,kitchen,sun_axyyrmzcupyhlivc.tif,216,1.5,0,1.56666666666667,1470625.0608462,1470625.0641812,55,NaN,1470626.5631139,1470626.5691699,1470628.1342878,NaN,NaN
117,2,2,typicality,0,kitchen,sun_aegoxogugdkwpmpj.tif,190,1.5,0,0.883333333333333,1470628.1390194,1470628.1392064,55,NaN,1470629.6405833,1470629.6471083,1470630.5287788,NaN,NaN
117,3,2,typicality,0,kitchen,sun_ajcbwwvdlsvjyzje.tif,205,1.5,0,0.75,1470630.5331784,1470630.5333727,55,NaN,1470632.0349367,1470632.041143,1470632.7894815,NaN,NaN
117,4,2,typicality,0,kitchen,sun_aehawpgmrlhlvcow.tif,191,1.5,0,1.23333333333333,1470632.7938479,1470632.7940224,55,NaN,1470634.2957536,1470634.3018449,1470635.5335158,NaN,NaN
117,5,2,typicality,0,kitchen,sun_acwjdupvyjsugpay.tif,186,1.5,0,0.85,1470635.5377958,1470635.538093,55,NaN,1470637.0403804,1470637.0461324,1470637.8944728,NaN,NaN
117,6,2,typicality,0,kitchen,labelme_brsyyvweiuaazfr.tif,171,1.5,0,0.916666666666667,1470637.8983594,1470637.8985939,55,NaN,1470639.4003114,1470639.4066793,1470640.3216841,NaN,NaN
117,7,2,typicality,0,kitchen,sun_akcjzhbbjlbogpdi.tif,208,1.5,0,1.75,1470640.3261758,1470640.3263533,55,NaN,1470641.8280235,1470641.8343366,1470643.5826747,NaN,NaN
117,8,2,typicality,0,kitchen,sun_ahljzhgcdpomplvg.tif,201,1.5,0,1.43333333333333,1470643.5871071,1470643.5872971,55,NaN,1470645.089014,1470645.0952507,1470646.5269221,NaN,NaN
117,9,2,typicality,0,kitchen,sun_abpwyqmlzafvklqo.tif,182,1.5,0,0.783333333333333,1470646.5309906,1470646.5311773,55,NaN,1470648.0330167,1470648.0392798,1470648.8209503,NaN,NaN
117,10,2,typicality,0,kitchen,sun_aymvwlarqodbwuoc.tif,217,1.5,0,1.76666666666667,1470648.8249413,1470648.8250997,55,NaN,1470650.327206,1470650.3331341,1470652.0981387,NaN,NaN
117,11,2,typicality,0,kitchen,sun_avszsnwsbuqfgzbn.tif,214,1.5,0,1.78333333333333,1470652.102403,1470652.102586,55,NaN,1470653.6048096,1470653.6107628,1470655.3924328,NaN,NaN
117,12,2,typicality,0,kitchen,sun_aypmqwcualkenuoe.tif,218,1.5,0,1.85,1470655.396733,1470655.3969199,55,NaN,1470656.8985575,1470656.9047065,1470658.7530443,NaN,NaN
117,13,2,typicality,0,kitchen,sun_ahspylgoovwmwvgk.tif,203,1.5,0,1.18333333333333,1470658.7571541,1470658.7573406,55,NaN,1470660.258925,1470660.2649943,1470661.4466642,NaN,NaN
117,14,2,typicality,0,kitchen,sun_aggjlwcdjsjcaemh.tif,196,1.5,0,1.01666666666667,1470661.4505636,1470661.4508546,55,NaN,1470662.9522374,1470662.9583047,1470663.973308,NaN,NaN
117,15,2,typicality,0,kitchen,sun_auticobqsbwgoppi.tif,213,1.5,0,1.65,1470663.9776623,1470663.9778445,55,NaN,1470665.4791813,1470665.4854163,1470667.1337543,NaN,NaN
117,16,2,typicality,0,kitchen,sun_abrcnpqqhmjwekyf.tif,183,1.5,0,1.83333333333333,1470667.1383172,1470667.1384888,55,NaN,1470668.6403142,1470668.6466565,1470670.4783268,NaN,NaN
117,17,2,typicality,0,kitchen,sun_agzzivivdpnawacl.tif,199,1.5,0,1.58333333333333,1470670.4826052,1470670.4827714,55,NaN,1470671.9841131,1470671.9903405,1470673.5720107,NaN,NaN
117,18,2,typicality,0,kitchen,sun_abftihopvusyfakt.tif,181,1.5,0,1.85,1470673.5761567,1470673.5763237,55,NaN,1470675.0775034,1470675.0835512,1470676.9318879,NaN,NaN
117,19,2,typicality,0,kitchen,sun_afuyedyxivkhecmu.tif,195,1.5,0,0.766666666666667,1470676.9361672,1470676.9363461,55,NaN,1470678.4379082,1470678.4439459,1470679.2089491,NaN,NaN
117,20,2,typicality,0,kitchen,sun_aadbddgrdsjugojn.tif,174,1.5,0,0.716666666666667,1470679.2130886,1470679.2132661,55,NaN,1470680.7148361,1470680.7210205,1470681.4360244,NaN,NaN
117,21,2,typicality,0,kitchen,sun_azmutvzbxypaceni.tif,220,1.5,0,1.38333333333333,1470681.4403123,1470681.440533,55,NaN,1470682.9422153,1470682.9484151,1470684.3300849,NaN,NaN
117,22,2,typicality,0,kitchen,sun_abdxkyyxwfskuaqb.tif,180,1.5,0,0.866666666666667,1470684.3339139,1470684.334328,55,NaN,1470685.8359101,1470685.8418944,1470686.7068982,NaN,NaN
117,23,2,typicality,0,kitchen,sun_amjjdeyrggfqgmom.tif,209,1.5,0,1.4,1470686.7112873,1470686.7114743,55,NaN,1470688.2133028,1470688.2196424,1470689.617981,NaN,NaN
117,24,2,typicality,0,kitchen,sun_admlmbcdswaszruo.tif,189,1.5,0,1,1470689.622194,1470689.6223751,55,NaN,1470691.1243082,1470691.1305024,1470692.1288399,NaN,NaN
117,25,2,typicality,0,kitchen,sun_abdenxonkemggwsq.tif,179,1.5,0,1.28333333333333,1470692.1330389,1470692.1332285,55,NaN,1470693.6346249,1470693.640557,1470694.9222314,NaN,NaN
